Nomes com Notas
Paulo Queiroz - Nota: 2
Sérgio Andrade - Nota: 5
Hugo Monteiro - Nota: 1
João Nascimento - Nota: 2
Julio Carvalho - Nota: 4
Thiago Macedo - Nota: 3
Fábio Nogueira - Nota: 5
Vinícius Vasconcelos - Nota: 4
Bernardo Andrade - Nota: 2
Renato Ferreira - Nota: 2
Felipe Paiva - Nota: 1
Eduardo Vieira - Nota: 5
João Paulo Batista - Nota: 3
Mateus Silva - Nota: 3
Mateus Sá - Nota: 2
Davi Lopes - Nota: 5
Bruno Gomes - Nota: 5
Bernardo Cavalcanti - Nota: 1
Thiago Farias - Nota: 3
Mateus Almeida - Nota: 4
Augusto Santana - Nota: 3
Fernando Costa - Nota: 1
Vinícius Morais - Nota: 3
João Paulo Sousa - Nota: 2
João Paulo Carvalho - Nota: 5
Pedro Silva - Nota: 3
Lucas Andrade - Nota: 3
Leandro Oliveira - Nota: 1
Davi Batista - Nota: 1
André Andrade - Nota: 4
Carlos Correia - Nota: 1
Rafael Almeida - Nota: 2
Marcelo Melo - Nota: 4
Tiago Dias - Nota: 2
Eduardo Aragão - Nota: 3
Sérgio Pereira - Nota: 3
Augusto Nogueira - Nota: 3
Marcos Gomes - Nota: 1
André Macedo - Nota: 1
Pedro Pereira - Nota: 2
Gustavo Monteiro - Nota: 5
Henrique Pinto - Nota: 1
João Paulo Teixeira - Nota: 2
Roberto Dias - Nota: 2
Eduardo Pinto - Nota: 3
Neto Pinto - Nota: 4
Alexandre Gomes - Nota: 3
Sérgio Freitas - Nota: 4
Gustavo Vieira - Nota: 5
Lucas Batista - Nota: 3
